,reviews
0,Fascinating impressive check in station for all the youth and the indoor man made garden is kind of memories for Singapore. Keep it up Singaporeans 💪
1,"I’m Singaporean and I don’t think I’ve ever been prouder of any mall in Singapore, until Jewel came about. It’s one mall I will make a trip to over and over again, because it has all that I need. 
1. Kids friendly cinema. Not many of my friends know this but Shaw has this cinema here that specially catered to parents with kids. They have a play area in front of the seats and the cinema is also dimly lit but bright enough for parents to watch over their little ones when they play at the play area. People are generally more understanding of noisy kids.
2. My favourite shopping outlets are all in this place - Zara, oysho, mango, cath kidston, seed by heritage for kids.
3. The food options are great and I always frequent one of these - violet Oon, beauty in the pot, burgers and lobsters, and snack time at birds of paradise, old Chang kee, Toast Box and leClaire by sarah Michelle.
4. Without a doubt, the BEST nursing room ever has got to be in Jewel. I was blown away by how comfortable the nursing rooms are."
2,"Singapore is hot and humid. The most of time we spent there was indoor. And Jewel was the best place we found, with beautiful waterfall and lots of shops and restaurants."
3,"Passed by many times and the rain of the sight of the rain vortex had never failed to arrest me. A few moment to admire the scene (definitely) then quick snaps of photos (if short of time) or a rest in the ""forest"" to watch the water flowing down. The place was always crowded with local and tourist alike but I could feel myself relax down. Kid really enjoyed it. An oasis right amidst the hustle bustle. If you transit or arrive in Singapore, recommend to come and admire this architect marvel."
4,"A brilliant design and architecture.
a jewel in an airport indeed.
a great place to spend time in waiting your flight."
5,"We flew from Changi to Sydney and were eager to visit the recently opened Jewel.

We checked in for our flight then followed the signs, which are clearly displayed, to this amazing feature.

It was very crowded, and we didn’t want to miss our flight so we weren’t able to spend as long as we would have liked, but it certainly takes your breath away. The lifts were very slow and jam packed so that made it harder to see everything. I gave up and walked down instead.

This wonderful attraction is linked to three of its passenger terminals, and was quite a walk for us from check in.

Built in a huge glass dome, the centrepiece is the astonishing Rain Vortex, the tallest indoor waterfall in the world. It’s surrounded by lush vegetation and terraces where you can sit and gaze at it in all its glory.

The site covers over 8 acres and has 12 storeys, 7 of which are at basement level.

The glass and steel facade was actually designed by the same architects who designed the Marina Bay Sands Hotel, with its iconic ship perched on the top of the building.

The Shiseido Forest Valley is one of Asia’s largest indoor gardens. It covers around 22,000 square metres and spans 5 stories. It’s extraordinary to think that there are around 3,000 trees and 60,000 shrubs from all around the world.

But it’s piece de resistance has to be the astonishing Rain Vortex waterfall which dominates the centre of the garden, and stands 130 ft high. It cascades down from a round hole in the glass ceiling and an incredible 38,000 litres of recirculating rain water is pumped through the hole every minute. Below it is a huge basement level pool.

The glass roof, which is toroid shaped, is made up of over 9,000 pieces of glass. At night it becomes the  360 degree backdrop for a light and sound show, which sadly we could not stay for.

It’s a truly astonishing piece of engineering and design, and it is incredible to think that it is inside an airport.

We just didn’t have time to visit the canopy park, which is about $5 to enter, or the canopy mazes, but I was able to walk down to the bottom of the waterfall and stand and gaze in awe at its beauty.

It seems odd to want to spend more time in an airport, but there is still so much to see here in Jewel that I hope one day to return."
6,"I didn't believe that an airport could actually be a destination, but this one is.  If you are visiting Singapore, or have a layover, you MUST spend time in this airport.  Best if you can visit ""The Jewel"" at night, but beautiful any time. The entire airport is worth exploring."
7,"wide range of food selection, food is nice and lots of seat inside teh resturant, impressive design and you will not know is this an airport."
8,"It's no surprise that this has been voted the best airport in the world 7 times.  The indoor waterfall is spectacular - even better when the light shows are on.  There are lots of things to do, though you do have to pay for some of them.  There are plenty of eateries, but allow time if you are travelling at the weekend."
9,"Amazing place so much more than a shopping mall and the waterfall is amazing with or without the light show
A complete entertainment centre on the top level 
Plenty of venues for food and drink
Caters for all age groups"
10,This is really amazing never seen anything like this anywhere in the world. The view of the waterfall is breathtaking and very relaxing. You can go to different level and view the waterfall. You can get better view of waterfall on level 3. There are plenty seating areas to enjoy this waterfall. If you are in the airport this is a must visit.
11,"We chose to have a long layover in Singapore (15hrs) to be able to explore it for a day. This adventure started at the airport which we could have stayed in for the entire 15 hours without getting bored. They have many unique free things to do and see while you wait in the airport including a butterfly garden! This particular airport has been rated top in the world for the past 6 years and has definitely earned that title. The Jewel is the latest in their attractions and now holds the world record for the largest indoor waterfall. Hidden near the arrival hall of terminal 1 this is worth stopping by. This end of the airport includes a high end shopping mall with many international stores which hide the waterfall while adding more mystique to the attraction. There are many levels of stairs and walkways surrounding the jewel to allow you to get different perspectives of it and the iconic selfie by it. While we were there they had signs displayed that mentioned new additions to the Jewel experience this year which include a canopy bridge. This entire area of the airport will be adding over 10 new attractions estimated by the end of this year (2019). We highly advise stopping by even for a small layover to at least witness the airport for yourself. Keep in mind if you have a layover for over 5 hours the airport also offers free tour bus rides of Singapore as well!
- @wanderingwithustwo"
12,"Been there multiple times and I haven't yet step into every single shop! I've been to different restaurants every time I went there and their service and food are good! Airport has always been a good hang out place and ever since Jewel's arrival, it just made things much better and enjoyable! 
For families with kids, I suggest you guys to visit the Canopy Park at the top floor! They will have tons of fun there!"
